text,label,raw_outputs,probability
哇~獨具慧眼！可惜我沒跟上阿~ 前高雄市長韓國瑜雖然遭罷免，無法做滿一屆高雄市長任期，不過，曾在「高雄市長任內喊出發大財」的他說到做到。由於根據監察院財產申報資料，獨具惠眼的韓國瑜選中飆股合一，隨著合一股價近期飆漲，即便不留高雄不回雲林，口袋依舊賺飽飽。 根據自由時報報導，由於韓國瑜持有100張合一股票，且持股成本只有100萬，但以今天的股價來算，帳面巿值高達1895萬元，身價爆增1795萬元，相當於快8年的市長年薪。 今年合一利多加持下，股價也一路飆漲，隨著合一新藥ON101解盲成功，股價再度打開跌停，且一開盤就攻上漲停，股價來到189.5元。 韓國瑜雖然目前無工作，但因投資獨具眼光，光靠合一1支股票，就淨賺170萬，直逼高雄市長年薪約230萬，一旦出脫手上持股，韓國瑜「發大財專家」的專業度將難以被挑戰。 來源,1,[-3.66796875  2.80078125 -1.08886719],0.9784700401527636
看k線圖在3月8日,2,[-2.1328125  -1.35058594  3.91015625],0.9924908643363517
韓國瑜那來啥~投資獨具眼光是老婆娶的好、善理財、就像扁家一個樣、只差沒總統命~,2,[-1.828125   -1.69628906  4.359375  ],0.9956197684287382
為何券商不讓我買股票 請問有人知道原因嗎？ 圖,2,[-2.52734375 -1.63183594  4.51953125],0.9970082864635317
聚隆(1466)股價遭警示https://tw.stock.yahoo.com/news/%E7%9B%88%E9%A4%98-%E8%81%9A%E9%9A%86-1466-%E8%82%A1%E5%83%B9%E9%81%AD%E8%AD%A6%E7%A4%BA-4%E6%9C%88%E4%BB%BD%E7%A8%85%E5%89%8D%E5%8F%8A%E6%9C%AC%E6%9C%9F%E6%B7%A8%E6%90%8D1100%E8%90%AC%E5%85%83-083708635.html,2,[-0.27832031 -1.63964844  2.86523438],0.9486009134185649
有問題請先 google。你會用 google 吧！https://twse-regulation.twse.com.tw/TW/law/DAT0201.aspx?FLCODE=FL007225,2,[-2.625      -1.64355469  4.31640625],0.9964656145117087
進賭場先搞懂規則。,2,[-2.69335938 -1.50292969  4.55859375],0.9969695754231603
下一個問題：為什麼要先 google ？ Yahoo 不行嗎？,2,[-1.78417969 -1.7578125   4.16796875],0.994757657788736
再下一個問題：除了 google 跟 Yahoo，還有那裡可以查詢？,2,[-2.3828125  -1.69042969  4.37890625],0.9965420519524734
再下一個問題：我只要發問，就有傻瓜會回答。為什麼要自己去查詢？,2,[-2.34375    -1.64160156  4.546875  ],0.9969391676986953
臺灣證券交易所或公司重大信息。,2,[-2.55859375 -1.58398438  4.37890625],0.9964693511667327
